feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
see,-0.09484895342105543,-0.10482866892572398,32,0.08461834699560226,0.1144836459352266,False
body,-0.05974965463993656,-0.10062770589809736,32,0.09974115854711108,0.13234884499520508,False
home,-0.020048726143398185,-0.011921024003550315,32,0.11242805967934756,0.14636860599764118,False
relig,-0.01206142940905352,0.006365514706212688,32,0.15285977016579916,0.1953208174340767,False
cogproc,0.41932477855049965,0.3611190156772184,32,0.1641178947965134,0.205893358926535,False
feel,-0.10802824684683829,-0.04674777448517162,32,0.20274301595257616,0.2411942775987544,False
conj,0.14965836303795532,0.2113195987887409,32,0.20274301595257616,0.2411942775987544,False
percept,-0.23666363244883065,-0.13672782711244025,32,0.20274301595257616,0.2411942775987544,False
shehe,0.0,0.061282120452793146,32,0.221330082993901,0.2588436563826978,False
friend,-0.012991950707795269,0.007824802360115632,32,0.229654258637482,0.2641023974331043,False
verb,-0.5672309870932732,-0.26980977533849876,32,0.2476009312007299,0.28007318447295676,False
sexual,0.0,0.008367436340374072,32,0.25598851167013814,0.2848904404070892,False
quant,-0.0430917295057377,-0.08139521581143978,32,0.2639930136692148,0.28913520544723526,False
ingest,0.059919743483515475,0.22508498883840095,32,0.27246372349830206,0.2937499518966069,False
adjverb,-0.008296660169855558,0.16874244582986103,32,0.317589436651994,0.33713340198442443,False
female,-0.006610259122157589,0.004484291251140988,32,0.5296296702875958,0.5537037462097592,False
death,-0.020055706330216132,0.030484964097943486,32,0.698671667179475,0.719527537841549,False
money,-0.056299358241900244,0.03199908979030821,32,0.829329182521754,0.8415251999117798,False
social,0.003111669325729538,0.08182237795322556,32,0.9064010309367532,0.9064010309367532,False
